监测点编码,监测点名称,城市,经度,纬度,station_rmse,station_mae,station_bias
3495A,锦屏中学,济南,117.1171,36.63,15.950331,11.881379,-4.0468497
3698A,红旗小学,呼和浩特,111.5968,40.8178,14.67287,10.405702,4.0125437
3699A,海东办,呼和浩特,111.6518,40.8389,13.649806,8.972004,2.7171373
3571A,一水厂,朔州,112.2931,39.53,13.534158,9.916894,-1.3952502
3618A,金胜,太原,112.4701,37.782,13.457059,9.435441,-1.8406434
1306A,长清党校,济南,116.7675,36.5484,13.131966,9.411598,-0.21400861
1087A,坞城,太原,112.57,37.8195,13.066716,8.629424,-2.7635086
1065A,文化中心,承德,117.8051,40.9655,12.967588,8.574903,2.6544554
1010A,昌平镇,北京,116.2296,40.217,12.962771,9.33036,-2.153858
1091A,小召,呼和浩特,111.6572,40.8033,12.954249,9.257556,1.9548913
3671A,门头沟三家店,北京,116.088,39.9726,12.908589,9.008694,1.5699713
1961A,东山小学,济南,117.532,36.6868,12.7479515,9.276066,-1.5722413
2170A,市二中,朔州,112.4272,39.3681,12.6982975,8.876866,-3.2545989
1084A,晋源,太原,112.469,37.7124,12.549794,8.368376,-0.10069556
1012A,古城,北京,116.184,39.9136,12.506422,8.514415,0.71630347
3474A,大新区,鹤壁,114.2617,35.6822,12.483089,8.678222,4.3113804
1064A,开发区,承德,117.9503,40.928,12.477558,8.071569,1.5992289
1622A,儿童乐园,德州,116.3032,37.4674,12.44676,9.006977,4.4410133
3034A,光明街小学,乌兰察布,113.1076,41.0385,12.215894,9.249536,-0.2092333
3694A,延庆石河营,北京,115.986,40.4563,12.142001,8.902349,2.3865256
1046A,建设大厦,秦皇岛,119.5251,39.9041,12.130009,8.848888,2.442348
1616A,技术学院,济南,117.6795,36.229,12.049115,8.352308,0.63814497
2167A,朔唯,朔州,112.4575,39.3617,11.996889,8.285103,-1.4199508
3456A,鹿泉一中,石家庄,114.289,38.0906,11.987476,8.358662,1.5573497
2385A,市监测站,鹤壁,114.17,35.9019,11.940108,8.101594,0.09553848
3697A,密云镇,北京,116.84,40.3844,11.922303,8.397209,-0.22327633
1088A,南寨,太原,112.549,37.9854,11.897157,7.8880653,-2.3290102
1081A,尖草坪,太原,112.5139,37.8873,11.8805895,8.037137,-1.2662777
3672A,丰台云岗,北京,116.1541,39.8204,11.852928,8.234897,1.962151
1086A,桃园,太原,112.5369,37.8692,11.798482,8.14684,-1.5271488
2386A,市交警支队,鹤壁,114.2956,35.7511,11.700231,8.255806,2.4004018
1056A,监测站,保定,115.5086,38.8639,11.610319,7.6323137,1.9368131
3132A,文明里,秦皇岛,119.610547,39.943889,11.603107,8.347715,-1.1974939
1029A,职工医院,石家庄,114.4422,38.0444,11.591817,7.6302123,1.530346
1085A,小店,太原,112.5583,37.7394,11.566872,7.78344,1.5609771
2181A,开发区,忻州,112.7383,38.4519,11.467838,7.814432,-2.6793368
1031A,西北水源,石家庄,114.4898,38.1328,11.4146185,7.8642144,3.8703098
3693A,路南电大,唐山,118.1436,39.6202,11.331893,8.422404,5.4058676
2166A,平朔,朔州,112.4397,39.3522,11.322526,7.9383135,-0.6950129
2197A,集宁新区,乌兰察布,113.1306,40.9923,11.296582,8.26276,-0.55434954
2858A,河西一经路,天津,117.7918,39.2474,11.240047,7.4996047,-0.64877725
3020A,中山北路,天津,117.2101,39.1699,11.218162,7.877619,2.1804466
1002A,定陵(对照点),北京,116.2202,40.2915,11.13958,7.655152,0.288266
3372A,太阳城中学,德州,116.3572,37.4094,11.137668,7.672335,3.5212035
1053A,接待中心,保定,115.4713,38.9108,11.132282,7.709841,3.449914
1743A,大阳泉,阳泉,113.5158,37.8392,11.096094,8.134483,-3.6876624
1624A,监理站,德州,116.2991,37.4451,11.0850935,7.803257,1.4919357
3675A,大兴旧宫,北京,116.4672,39.7733,11.065678,6.8607903,0.32987815
1008A,顺义新城,北京,116.6636,40.135,11.062079,8.012831,-1.7949886
1062A,铁路,承德,117.9531,40.9081,11.022716,7.138175,0.7246894
3421A,市委党校,乌兰察布,113.1775,40.9779,11.016787,7.953571,0.5413603
3460A,北环路,天津,117.4067,40.0583,10.977692,8.299077,-3.4052856
3567A,区一中,大同,113.5931,40.0461,10.969456,8.120685,-0.3212136
3462A,滨水东路,天津,117.8199,39.3521,10.960054,7.3516617,-1.6120926
3417A,平谷新城,北京,117.0709,40.1465,10.939759,8.107294,0.17446226
1063A,中国银行,承德,117.9392,40.9763,10.934846,7.1269717,-0.04396126
3281A,延庆夏都,北京,115.9718,40.4529,10.811398,8.009604,2.409772
1007A,海淀万柳,北京,116.2878,39.9611,10.701802,7.3165503,1.9162749
3674A,房山燕山,北京,115.9577,39.7603,10.659958,7.498936,-0.98715246
1011A,奥体中心,北京,116.3966,39.9821,10.65232,7.933883,2.3043246
1001A,万寿西宫,北京,116.3621,39.8784,10.600967,7.509143,1.8273088
1073A,市环保局,沧州,116.8709,38.3228,10.518034,7.9827,2.0782886
3418A,密云新城,北京,116.8336,40.4095,10.507391,7.6619706,-1.1467007
3051A,西四道,天津,117.3876,39.1488,10.50533,7.6123743,2.8748844
1003A,东四,北京,116.4174,39.9289,10.472018,7.4005866,0.020663796
1006A,官园,北京,116.3392,39.9295,10.366556,7.113139,-0.048548073
3324A,河北水利电力学院,沧州,116.8136,38.3004,10.352928,7.4816704,2.224546
1026A,汉北路,天津,117.764,39.1587,10.299425,7.251792,1.2227619
3673A,通州东关,北京,116.6804,39.9081,10.282846,7.2618513,0.31459078
3461A,建设路,天津,117.3045,39.7169,10.146993,7.4157743,-0.29200947
1004A,天坛,北京,116.4072,39.8863,10.08086,6.876451,0.4431312
1068A,开发区,廊坊,116.7214,39.5589,10.027232,6.655085,-2.1737902
1024A,永明路,天津,117.457,38.8394,9.988863,6.742765,1.7449855
1067A,药材公司,廊坊,116.6708,39.5111,9.928555,6.7862334,-1.8682845
1018A,前进道,天津,117.202,39.0927,9.910398,6.8800216,-0.23398088
3619A,龙柱,阳泉,113.617,37.8571,9.90654,7.172185,-3.96859
2919A,河北工业大学,廊坊,116.7022,39.5453,9.899046,6.6842566,-2.2796793
1005A,农展馆,北京,116.462,39.9365,9.800413,7.161755,0.79985625
1009A,怀柔镇,北京,116.6275,40.3275,9.799251,7.2244387,2.1882539
1740A,南庄,阳泉,113.5819,37.8486,9.786919,6.703063,-0.45217532
3327A,地纬路,天津,116.9638,38.9375,9.625558,7.1916633,4.4199147
3325A,雍阳西道,天津,117.0365,39.3828,9.577939,6.8555436,0.5958212
1015A,勤俭道,天津,117.1444,39.1661,9.573554,6.962321,1.3032299
1071A,沧县城建局,沧州,116.8842,38.2991,9.545283,7.0912237,1.8312398
1040A,十二中,唐山,118.1705,39.6506,9.493868,6.9977856,2.9893835
3326A,辛老路,天津,117.0296,39.0605,9.35361,6.3585067,0.83764976
1739A,赛鱼,阳泉,113.4894,37.8731,9.278638,6.4279213,1.5888315
2860A,宾水西道,天津,117.1589,39.0845,9.028234,6.255761,1.4907023
2922A,大理道,天津,117.1941,39.1067,8.868771,6.4667606,-0.10315315
3323A,青少年活动中心,张家口,115.2773,40.9724,8.833183,6.8914757,2.5574758
1060A,世纪豪园,张家口,114.8902,40.762,8.460349,6.0833716,1.7417886
3695A,怀柔新城,北京,116.6151,40.3053,8.45766,6.0489473,0.029559013
1742A,平坦,阳泉,113.5614,37.8703,8.39638,5.814241,0.15354879
3131A,烟厂,张家口,114.879,40.7993,8.123914,5.643026,0.107645914
1057A,人民公园,张家口,114.8883,40.8336,8.0058365,5.798657,-0.05306541
